slug,title,status,domain_key,priority,source_focus
what-is-an-economic-system,What Is an Economic System?,planned,foundations,1,"Economic systems production distribution exchange"
scarcity-allocation-and-material-life,Scarcity Allocation and the Organization of Material Life,planned,foundations,1,"Scarcity allocation material life"
production-distribution-and-exchange,Production Distribution and Exchange in Human Societies,planned,foundations,1,"Production distribution exchange"
households-firms-markets-and-states,Households Firms Markets and States,planned,foundations,1,"Households firms markets states"
economic-value-price-and-social-worth,Economic Value Price and Social Worth,planned,foundations,2,"Value price social worth"
supply-demand-prices-and-economic-coordination,Supply Demand Prices and Economic Coordination,planned,microeconomics,1,"Supply demand prices"
consumer-choice-household-welfare-and-everyday-economic-life,Consumer Choice Household Welfare and Everyday Economic Life,planned,microeconomics,1,"Consumer choice household welfare"
firms-costs-competition-and-market-structure,Firms Costs Competition and Market Structure,planned,microeconomics,1,"Firms costs competition market structure"
externalities-public-goods-and-collective-provision,Externalities Public Goods and Collective Provision,planned,microeconomics,1,"Externalities public goods"
commons-shared-resources-and-institutional-governance,Commons Shared Resources and Institutional Governance,planned,microeconomics,1,"Commons shared resources"
behavioral-economics-and-bounded-rationality,Behavioral Economics and Bounded Rationality,planned,microeconomics,2,"Behavioral economics bounded rationality"
information-uncertainty-and-imperfect-markets,Information Uncertainty and Imperfect Markets,planned,microeconomics,2,"Information uncertainty imperfect markets"
labor-wages-productivity-and-work,Labor Wages Productivity and the Social Organization of Work,planned,labor_care,1,"Labor wages productivity"
unpaid-care-work-and-hidden-foundations-of-the-economy,Unpaid Care Work and the Hidden Foundations of the Economy,planned,labor_care,2,"Care work social reproduction"
precarious-work-informality-and-economic-security,Precarious Work Informality and Economic Security,planned,labor_care,2,"Precarious work informality"
labor-unions-collective-bargaining-and-worker-power,Labor Unions Collective Bargaining and Worker Power,planned,labor_care,2,"Labor unions bargaining"
automation-skills-and-the-future-of-work,Automation Skills and the Future of Work,planned,labor_care,2,"Automation skills future work"
capital-investment-and-accumulation,Capital Investment and the Dynamics of Accumulation,planned,finance_macro,1,"Capital investment accumulation"
money-banking-credit-and-financial-intermediation,Money Banking Credit and Financial Intermediation,planned,finance_macro,1,"Money banking credit"
finance-leverage-and-systemic-risk,Finance Leverage and Systemic Risk,planned,finance_macro,1,"Finance leverage systemic risk"
macroeconomic-stability-business-cycles-and-crisis,Macroeconomic Stability Business Cycles and Crisis,planned,finance_macro,1,"Macroeconomic stability crisis"
inflation-energy-shocks-and-supply-constraints,Inflation Energy Shocks and Supply Constraints,planned,finance_macro,1,"Inflation energy shocks"
fiscal-policy-taxation-and-public-investment,Fiscal Policy Taxation and Public Investment,published,finance_macro,1,"Fiscal policy taxation public investment"
monetary-policy-central-banking-and-financial-conditions,Monetary Policy Central Banking and Financial Conditions,published,finance_macro,1,"Monetary policy central banking"
growth-development-and-structural-transformation,Growth Development and Structural Transformation,published,development,1,"Growth development structural transformation"
industrial-policy-and-the-developmental-state,Industrial Policy and the Developmental State,published,development,1,"Industrial policy developmental state"
trade-globalization-and-uneven-development,Trade Globalization and Uneven Development,published,development,1,"Trade globalization development"
debt-dependency-and-global-financial-order,Debt Dependency and Global Financial Order,published,development,1,"Debt dependency global finance"
dependency-structuralism-and-global-economic-hierarchy,Dependency Structuralism and Global Economic Hierarchy,planned,development,2,"Dependency structuralism"
inequality-redistribution-and-social-mobility,Inequality Redistribution and Social Mobility,published,welfare_inequality,1,"Inequality redistribution mobility"
poverty-capability-and-economic-inclusion,Poverty Capability and Economic Inclusion,published,welfare_inequality,1,"Poverty capability inclusion"
the-welfare-state-and-social-protection,The Welfare State and Social Protection,published,welfare_inequality,1,"Welfare state social protection"
capability-freedom-and-human-development,Capability Freedom and Human Development,planned,welfare_inequality,2,"Capability freedom human development"
institutions-property-rights-and-economic-order,Institutions Property Rights and Economic Order,published,institutions,1,"Institutions property rights"
capitalism-and-its-varieties,Capitalism and Its Varieties,published,institutions,1,"Capitalism varieties"
socialism-planning-and-the-mixed-economy,Socialism Planning and the Mixed Economy,published,institutions,1,"Socialism planning mixed economy"
political-economy-power-and-distributional-conflict,Political Economy Power and Distributional Conflict,published,institutions,1,"Political economy power"
public-finance-state-capacity-and-collective-goods,Public Finance State Capacity and Collective Goods,published,institutions,1,"Public finance state capacity"
cooperatives-commons-and-democratic-economic-governance,Cooperatives Commons and Democratic Economic Governance,planned,institutions,2,"Cooperatives commons governance"
regulation-competition-policy-and-market-power,Regulation Competition Policy and Market Power,planned,institutions,2,"Regulation competition monopoly"
ecological-economics-and-the-embedded-economy,Ecological Economics and the Embedded Economy,published,ecological,1,"Ecological economics"
natural-capital-resource-use-and-environmental-constraint,Natural Capital Resource Use and Environmental Constraint,published,ecological,1,"Natural capital resources"
circular-economy-and-regenerative-production,Circular Economy and Regenerative Production,published,ecological,1,"Circular economy regenerative production"
climate-economics-transition-policy-and-decarbonization,Climate Economics Transition Policy and Decarbonization,published,ecological,1,"Climate economics transition"
economic-systems-within-planetary-boundaries,Economic Systems Within Planetary Boundaries,published,ecological,1,"Planetary boundaries economics"
post-growth-degrowth-and-the-critique-of-endless-expansion,Post-Growth Degrowth and the Critique of Endless Expansion,published,ecological,1,"Post-growth degrowth"
beyond-gdp-measuring-well-being-inclusion-and-sustainability,Beyond GDP Measuring Well-Being Inclusion and Sustainability,published,measurement,1,"Beyond GDP well-being"
national-accounts-gdp-and-the-politics-of-measurement,National Accounts GDP and the Politics of Measurement,planned,measurement,2,"GDP national accounts"
natural-capital-accounting-and-its-limits,Natural Capital Accounting and Its Limits,planned,measurement,2,"Natural capital accounting"
economic-resilience-fragility-and-adaptive-capacity,Economic Resilience Fragility and Adaptive Capacity,published,future,1,"Economic resilience fragility"
the-future-of-economic-systems-in-an-age-of-limits,The Future of Economic Systems in an Age of Limits,published,future,1,"Future economic systems limits"
supply-chains-strategic-reserves-and-economic-resilience,Supply Chains Strategic Reserves and Economic Resilience,planned,future,2,"Supply chains resilience"
